"","AGI","logFC","logCPM","LR","PValue","FDR","symbol2","full_name"
"21","AT3G61310",-1.92225086858839,3.71374419904351,107.328242418535,3.77220345681355e-25,6.03588478837376e-22,"AHL11","AT-hook motif nuclear localized protein 11"
"22","AT4G23496",-2.14901352241653,2.84461578108327,106.19911487772,6.66864292254843e-25,1.01854427037942e-21,"SP1L5","SPIRAL1-like5"
"23","AT1G12900",-2.12758046552324,5.61157668799182,105.428453431299,9.8386934616517e-25,1.43739033781922e-21,"GAPA-2","glyceraldehyde 3-phosphate dehydrogenase A subunit 2"
"24","AT1G29930",-1.66652468650091,9.50896526517101,105.124598040126,1.14692271919249e-24,1.60578738376276e-21,"AB140;CAB1;CAB140;LHCB1.3","NA;chlorophyll A/B binding protein 1;CHLOROPHYLL A/B PROTEIN 140;LIGHT-HARVESTING CHLOROPHYLL A/B-PROTEIN 1.3"
"25","AT5G54270",-1.74149138586811,6.35050812139637,103.701165984491,2.35252737678706e-24,3.16198499659195e-21,"LHCB3;LHCB3*1","light-harvesting chlorophyll B-binding protein 3;NA"
"26","AT3G54890",-1.63818137014861,6.09998168525127,102.666960218333,3.96502386684613e-24,5.12433584514476e-21,"LHCA1","photosystem I light harvesting complex gene 1"
"27","AT1G49560",-1.60780439851948,4.71313453481528,100.730897957651,1.0536898841757e-23,1.31133657363229e-20,"HHO6","HRS1 HOMOLOG6"
"28","AT4G10340",-1.56379964050253,7.49686387520942,99.6810433133215,1.79026622989101e-23,2.14844735202849e-20,"LHCB5","light harvesting complex of photosystem II 5"
"29","AT1G20270",-1.65038556621207,5.25159880809114,99.0704356328907,2.4367896989946e-23,2.82348301605574e-20,NA,NA
"30","AT1G62710",-1.36742346121033,5.05699250034317,98.9841782134294,2.54527150697616e-23,2.85087377258043e-20,"AEP2;BETA-VPE;BETAVPE","asparaginyl endopeptidase 2;beta vacuolar processing enzyme;NA"
"31","AT3G46780",-1.9835961749215,4.89129337387551,96.6515695140368,8.26668225347558e-23,8.9605502284286e-20,"PTAC16","plastid transcriptionally active 16"
"32","AT5G13140",-1.77027781169588,4.64470261956409,96.0333170454067,1.12966330411312e-22,1.18621707327528e-19,NA,NA
"33","AT5G10050",-2.38754522725388,6.25337398388022,95.2958435541244,1.63957030444536e-22,1.66948004151434e-19,NA,NA
"34","AT1G44575",-1.837708584897,5.40944145040763,94.742089358549,2.16878452284701e-22,2.14339698637368e-19,"CP22;NPQ4;PSBS","NA;NONPHOTOCHEMICAL QUENCHING 4;PHOTOSYSTEM II SUBUNIT S"
"35","AT1G67090",-1.60432507938374,8.52509473434557,94.5513973521379,2.38810468321121e-22,2.29271695900752e-19,"RBCS1A","ribulose bisphosphate carboxylase small chain 1A"
"36","AT4G27260",-1.59981831313941,5.42555490480868,93.3660185008157,4.34649544710539e-22,4.05697055593431e-19,"GH3.5;WES1","NA;NA"
"37","AT1G32900",-2.32414220005277,3.03071861651802,93.2867035339415,4.52421299916812e-22,4.10871905940668e-19,"GBSS1","granule bound starch synthase 1"
"38","AT1G52700",-2.2883471195664,3.17441035552295,92.3831965122094,7.14179245521738e-22,6.31522394947933e-19,NA,NA
"39","AT3G02885",-1.45254466484572,6.37039112480696,91.7528824430408,9.82051247856897e-22,8.46125282833011e-19,"GASA5","GAST1 protein homolog 5"
"40","AT5G59320",-2.16951998131507,4.15450835875411,91.0043985360158,1.43353096138573e-21,1.20423768411208e-18,"LTP3","lipid transfer protein 3"
"41","AT1G08380",-1.46283824984151,5.74064149106131,89.9798335718955,2.40599971688034e-21,1.97186347528325e-18,"PSAO","photosystem I subunit O"
"42","AT1G32060",-2.07624606841166,5.48784986797722,87.1645406997075,9.98581616836331e-21,7.98912844974628e-18,"PRK","phosphoribulokinase"
"43","AT5G03545",-1.79412678367364,4.90627669332974,86.415958226848,1.45803606878428e-20,1.13937041821603e-17,"AT4;ATIPS2","NA;INDUCED BY PI STARVATION 2"
"44","AT4G08300",1.74536097331052,5.24022718125629,85.3111087536528,2.54927022690376e-20,1.94683132191864e-17,"UMAMIT17","Usually multiple acids move in and out Transporters 17"
"45","AT5G19140",-1.85790404488639,7.95266419833171,85.1819833188974,2.7213019031858e-20,2.03202636779665e-17,"AILP1;ATAILP1","NA;NA"
"46","AT2G05100",-1.65442877359546,5.44966593892948,83.8277260607292,5.3982389778429e-20,3.94329622029298e-17,"LHCB2;LHCB2.1","LIGHT-HARVESTING CHLOROPHYLL B-BINDING 2;photosystem II light harvesting complex gene 2.1"
"47","AT4G25100",-1.6349173374566,8.07697327714294,83.6067681173004,6.03660418013464e-20,4.31578667363583e-17,"ATFSD1;FSD1","ARABIDOPSIS FE SUPEROXIDE DISMUTASE 1;Fe superoxide dismutase 1"
"48","AT1G67740",-1.40792167999692,5.20690523447299,82.4972083002893,1.05819486555218e-19,7.40780497339256e-17,"PSBY;YCF32","photosystem II BY;NA"
"49","AT3G45700",1.56535975229062,3.7774983919495,81.9483088969317,1.39692786008267e-19,9.41238259637932e-17,"NPF2.4","NITRATE EXCRETION TRANSPORTER"
"50","AT1G19330",-1.52636605287205,5.04336410850917,81.9431642249423,1.40056880488949e-19,9.41238259637932e-17,"AFR2","SAP30 FUNCTION-RELATED 2"
"51","AT5G48485",-2.41634890417215,5.91474410084849,81.7996793902495,1.50602983116353e-19,9.92266948759943e-17,"DIR1","DEFECTIVE IN INDUCED RESISTANCE 1"
"52","AT2G24270",-1.57539182094814,5.05744795876614,81.6894905522557,1.59238003708167e-19,1.02898373088497e-16,"ALDH11A3","aldehyde dehydrogenase 11A3"
"53","AT4G26050",-1.92454804141036,3.83325293318492,81.5157437355448,1.73870946618115e-19,1.10234180155885e-16,"PIRL8","plant intracellular ras group-related LRR 8"
"54","AT1G55670",-1.69698160467206,5.90738387168522,80.4384184089844,2.99907217041072e-19,1.86620042722483e-16,"PSAG","photosystem I subunit G"
"55","AT3G28480",-1.30100999862034,5.87927224893408,80.1811168501016,3.41616324052201e-19,2.06443385458637e-16,NA,NA
"56","AT3G21055",-1.4379941924505,4.89081484303755,80.1670796833407,3.44051829822143e-19,2.06443385458637e-16,"PSBTN","photosystem II subunit T"
"57","AT3G28345",1.88767323445513,5.35577520466006,78.7724470497945,6.96923298711548e-19,4.10842397952727e-16,"ABCB15;MDR13","ATP-binding cassette B15;multi-drug resistance 13"
"58","AT3G55800",-1.99853664367903,4.43478010677531,78.4344124054789,8.26989017276851e-19,4.79111809629944e-16,"SBPASE","sedoheptulose-bisphosphatase"
"59","AT4G12800",-1.48746249530283,6.08815210941397,78.1524348830817,9.53879774250429e-19,5.4325878261632e-16,"PSAL","photosystem I subunit l"
"60","AT2G39730",-1.50479993581593,7.6306761299861,76.7072590371363,1.98273239189368e-18,1.11039623054019e-15,"RCA","rubisco activase"
"61","AT5G38430",-3.52070049765253,3.09088665168784,76.4070282370445,2.30828298558032e-18,1.27152335871262e-15,"RBCS1B","Rubisco small subunit 1B"
"62","AT5G64040",-1.69998245810501,5.74010745014253,76.0294713730364,2.79462548980387e-18,1.51459686626435e-15,"PSAN","NA"
"63","AT4G34950",-1.69227243650601,6.24058122033322,75.8969508714613,2.98861191843182e-18,1.5773686466143e-15,"MFS1","MAJOR FACILITATOR SUPERFAMILY 1"
"64","AT3G49780",1.85275408879918,4.54151265227915,75.8865909965174,3.00433287849875e-18,1.5773686466143e-15,"ATPSK3 (FORMER SYMBOL);ATPSK4;PSK4","NA;phytosulfokine 4 precursor;phytosulfokine 4 precursor"
"65","AT5G09660",-2.29953059714575,2.79209099889575,75.7517469053617,3.21666397119193e-18,1.66286681169217e-15,"PMDH2","peroxisomal NAD-malate dehydrogenase 2"
"66","AT3G19480",-2.65699686520978,1.94530479075589,75.471158901208,3.70783495553979e-18,1.88773742690982e-15,"3-PGDH;PGDH3","NA;phosphoglycerate dehydrogenase 3"
"67","AT4G21280",-1.44148102818837,5.46189310800512,74.5964152153036,5.77479705848363e-18,2.89619001133085e-15,"PSBQ;PSBQ-1;PSBQA","PHOTOSYSTEM II SUBUNIT Q;PHOTOSYSTEM II SUBUNIT Q-1;photosystem II subunit QA"
"68","AT3G26490",-1.75911000100339,3.35532318724961,74.270029784362,6.81300306149552e-18,3.36662542459371e-15,NA,NA
"69","AT2G22122",1.87798935820004,6.23722092354109,74.0507677412443,7.61336230763893e-18,3.70759710523599e-15,NA,NA
"70","AT2G06520",-1.28791686371819,5.86283452751881,73.3210489957738,1.10186552854415e-17,5.28926935573435e-15,"PSBX","photosystem II subunit X"
"71","AT3G52490",1.29275051255694,4.4639177392501,73.2074827924747,1.16712444250709e-17,5.52362190382016e-15,"SMXL3","SMAX1-like 3"
"72","AT2G42220",-1.75475255565846,3.96065433075082,72.1434312267549,2.00110715818117e-17,9.33905593461161e-15,NA,NA
"73","AT2G30570",-1.5242480164463,5.79099146785857,71.9123462243405,2.24971943573337e-17,1.03554893807552e-14,"PSBW","photosystem II reaction center W"
"74","AT3G23240",2.45752561016774,1.97321067470704,71.1960921000654,3.2342807727459e-17,1.46862570980821e-14,"AtERF#092;ERF1;ERF1B","NA;ethylene response factor 1;NA"
"75","AT3G14420",-2.72189012388088,4.41592555347691,70.9825069475509,3.60406300236958e-17,1.6147163334083e-14,"GOX1","glycolate oxidase 1"
"76","AT3G26060",-1.55732199101816,4.51091617446558,70.6569581910069,4.25065838694199e-17,1.87935030418453e-14,"ATPRX Q;PRXQ","NA;peroxiredoxin Q"
"77","AT1G03600",-1.80513006192863,4.68075293940272,69.3502742178674,8.2441159096282e-17,3.59764652980944e-14,"PSB27","NA"
"78","AT4G28750",-1.51517978859912,4.60193641471341,69.1567965287213,9.09384439847096e-17,3.91758153176181e-14,"PSAE-1","PSA E1 KNOCKOUT"
"79","AT1G11185",1.38038091974162,5.53040529511759,68.6147997184189,1.19702389313031e-16,5.09144264012211e-14,"sORF2","short open reading frame 2"
"80","AT4G01150",-1.16190155804465,5.77801090153341,68.5826446521751,1.21670198677255e-16,5.1104525199414e-14,"CURT1A","CURVATURE THYLAKOID 1A"
"81","AT3G06390",1.24033540419049,5.65405063113895,68.3502653291695,1.36886825247086e-16,5.67860629870689e-14,"CASPL1D2","CASP-like protein 1D2"
"82","AT1G07880",-1.46129937583288,4.81336392218535,68.324597517829,1.38680269828089e-16,5.68284686190663e-14,"ATMPK13","NA"
"83","AT1G75690",-1.5079621117435,3.10553661079978,68.0229204674489,1.61606044808617e-16,6.54251363573389e-14,"LQY1","LOW QUANTUM YIELD OF PHOTOSYSTEM II 1"
"84","AT1G67870",1.48207179623147,6.91262473678206,67.6957173212812,1.90777475629767e-16,7.6315532572755e-14,NA,NA
"85","AT5G08790",1.29457252836807,6.7113677913371,67.2411455442815,2.40247393570393e-16,9.49740343382631e-14,"anac081;ATAF2","Arabidopsis NAC domain containing protein 81;NA"
"86","AT4G30140",-2.13086536749282,5.82076380206219,66.6823228961718,3.18982748167841e-16,1.24633236092277e-13,"CDEF1","CUTICLE DESTRUCTING  FACTOR 1"
"87","AT4G30020",-1.21532291869365,7.16713457123157,66.4332783337728,3.61939758761236e-16,1.39791951424081e-13,NA,NA
"88","AT2G44990",-3.61039958462807,0.870541528573074,66.1960347069526,4.08233001923259e-16,1.55880060575288e-13,"ATCCD7;CCD7;MAX3","NA;carotenoid cleavage dioxygenase 7;NA"
"89","AT3G22120",-2.85026744009697,7.47393268587819,65.7324450782611,5.16485703927262e-16,1.94999467678246e-13,"CWLP","cell wall-plasma membrane linker protein"
"90","AT5G65140",-3.37513135460562,6.10913763431501,65.3360183333512,6.31564205988979e-16,2.35798004996019e-13,"TPPJ","trehalose-6-phosphate phosphatase J"
"91","AT4G03280",-1.19264648150151,5.84852758642389,65.1692382906925,6.87341406329543e-16,2.53802702587751e-13,"PETC;PGR1","photosynthetic electron transfer C;PROTON GRADIENT REGULATION 1"
"92","AT2G33400",-1.14402301980338,4.37486900575658,64.5579527478422,9.3734442716724e-16,3.42354863496452e-13,NA,NA
"93","AT1G72210",-1.37408196864827,4.14816273416251,64.2017549056389,1.12308671458776e-15,4.05784513801914e-13,"bHLH096;bHLH96","NA;NA"
"94","AT3G51510",-1.80553931644878,3.16345143168299,64.0731308617927,1.19885454832765e-15,4.27869422250811e-13,NA,NA
"95","AT5G59530",1.21479444023874,4.64797839077949,64.0554241750187,1.20967784994426e-15,4.27869422250811e-13,NA,NA
"96","AT1G17100",-1.57028829203039,3.27061867890582,63.9024625485688,1.30734133658873e-15,4.55199431242064e-13,"AtHBP1;HBP1","NA;haem-binding protein 1"
"97","AT5G66570",-1.24105785958485,7.74309150841602,63.8923951535802,1.31403918905066e-15,4.55199431242064e-13,"MSP-1;OE33;OEE1;OEE33;PSBO-1;PSBO1","MANGANESE-STABILIZING PROTEIN 1;OXYGEN EVOLVING COMPLEX 33 KILODALTON PROTEIN;33 KDA OXYGEN EVOLVING POLYPEPTIDE 1;OXYGEN EVOLVING ENHANCER PROTEIN 33;PS II OXYGEN-EVOLVING COMPLEX 1;PS II oxygen-evolving complex 1"
"98","AT2G42540",-3.61694948322137,1.86620893992202,63.7533944545111,1.41010381401455e-15,4.83492942433847e-13,"AtCOR15A;COR15;COR15A","NA;NA;cold-regulated 15a"
"99","AT1G67105",-3.92798124989905,4.78206574288798,62.9807579513077,2.08735847873184e-15,7.08478985882294e-13,NA,NA
"100","AT4G31110",1.31002349829446,4.26531930752518,62.8545021304682,2.22554318670925e-15,7.47827021598042e-13,NA,NA
"101","AT4G38970",-1.84294258322176,6.10622539009377,62.7849483957166,2.30554044163127e-15,7.67037325937563e-13,"AtFBA2;FBA2","NA;fructose-bisphosphate aldolase 2"
"102","AT4G13300",3.87730919969731,1.9635831204694,62.7571484925986,2.33831352373071e-15,7.70313833572541e-13,"ATTPS13;TPS13","NA;terpenoid synthase 13"
"103","AT1G32470",-1.4347088049919,4.67174420128344,62.6630251819959,2.45277454288845e-15,8.00176021263473e-13,NA,NA
"104","AT4G02970",-1.74130126058435,5.6119273892882,62.1361621305731,3.20511348106331e-15,1.03555983837201e-12,"AT7SL-1","7SL RNA1"
"105","AT2G24762",-1.81702718080311,5.4307470611488,62.083693261997,3.29165901929893e-15,1.05339358444269e-12,"AtGDU4;GDU4","glutamine dumper 4;glutamine dumper 4"
"106","AT4G17260",-1.20054907898864,6.15044496184694,62.0429992154009,3.36038907390614e-15,1.06524333642825e-12,NA,NA
"107","AT1G06680",-1.3204819545819,7.00527670525676,61.9608534043385,3.50353440903988e-15,1.10024077768746e-12,"OE23;OEE2;PSBP-1;PSII-P","OXYGEN EVOLVING COMPLEX SUBUNIT 23 KDA;OXYGEN-EVOLVING ENHANCER PROTEIN 2;photosystem II subunit P-1;PHOTOSYSTEM II SUBUNIT P"
"108","AT1G18400",-2.09944790612819,2.27258636168396,61.9225434778022,3.57236282472634e-15,1.1104672175673e-12,"BEE1","BR enhanced expression 1"
"109","AT4G27810",-2.67393618328649,1.57901816417552,61.906168226478,3.60219411686314e-15,1.1104672175673e-12,NA,NA
"110","AT3G50440",-3.38021582853818,3.27354269302676,61.7210883378785,3.95719418021174e-15,1.20881489857704e-12,"ATMES10;MES10","ARABIDOPSIS THALIANA METHYL ESTERASE 10;methyl esterase 10"
"111","AT2G34430",-3.9806882027801,0.869358959877168,61.5614695616479,4.29134586435558e-15,1.29907931291961e-12,"LHB1B1;LHCB1.4","light-harvesting chlorophyll-protein complex II subunit B1;LIGHT-HARVESTING CHLOROPHYLL-PROTEIN COMPLEX II SUBUNIT B1"
"112","AT3G50820",-1.6920607341198,5.49466452409197,61.4406750795685,4.56286213153057e-15,1.36894011914009e-12,"OEC33;PSBO-2;PSBO2","OXYGEN EVOLVING COMPLEX SUBUNIT 33 KDA;PHOTOSYSTEM II SUBUNIT O-2;photosystem II subunit O-2"
"113","AT5G20150",-2.01903906811108,3.43973900110666,61.3888047956318,4.68466671444893e-15,1.39304576052135e-12,"ATSPX1;SPX1","ARABIDOPSIS THALIANA SPX  DOMAIN GENE 1;SPX  domain gene 1"
"114","AT3G26710",-1.36299730030563,4.61660621397993,61.0415269376333,5.58835151900939e-15,1.6471911205417e-12,"CCB1","cofactor assembly of complex C"
"115","AT1G10640",-2.89889679824542,3.47521395145039,60.5779192048113,7.07228786802126e-15,2.06646101688044e-12,NA,NA
"116","AT4G17670",-1.59034517865042,4.9132394479057,60.3826397215461,7.80987327808012e-15,2.26230484387973e-12,NA,NA
"117","AT4G09010",-1.53212142244046,3.67840519461022,60.2310047485901,8.43529608113734e-15,2.42258819588356e-12,"APX4;TL29","ascorbate peroxidase 4;thylakoid lumen 29"
"118","AT5G26670",-1.17598296538552,5.1127377602116,60.1533235245556,8.77486036662831e-15,2.49875303423258e-12,"AtPAE10","Pectin Acetyesterase 10"
"119","AT3G26650",-1.53192758332007,7.36953680100023,60.0151133008391,9.41317843102077e-15,2.65799682049714e-12,"GAPA;GAPA-1","glyceraldehyde 3-phosphate dehydrogenase A subunit;GLYCERALDEHYDE 3-PHOSPHATE DEHYDROGENASE A SUBUNIT 1"
"120","AT1G13440",-1.13227907828921,11.3839816850723,59.3985229700307,1.28765693203142e-14,3.60565401917665e-12,"GAPC-2;GAPC2","GLYCERALDEHYDE-3-PHOSPHATE DEHYDROGENASE C-2;glyceraldehyde-3-phosphate dehydrogenase C2"
"121","AT1G43160",2.12061222769811,4.57944329856278,58.8972476267752,1.66124433823865e-14,4.59174742120551e-12,"RAP2.6","related to AP2 6"
"122","AT2G47520",-2.67585751973271,4.54466663077144,58.8902741315974,1.66714238850983e-14,4.59174742120551e-12,"AtERF71;ERF71;HRE2","Arabidopsis thaliana ethylene response factor 71;ethylene response factor 71;HYPOXIA RESPONSIVE ERF (ETHYLENE RESPONSE FACTOR) 2"
"123","AT2G36570",-1.30422450392569,6.81253068173171,58.7568633234591,1.78410123242433e-14,4.87393248877418e-12,"PXC1","PXY/TDR-correlated 1"
"124","AT4G24026",-2.01348861813944,3.64319431569268,58.7048066328466,1.83193421334033e-14,4.96424624489209e-12,NA,NA
"125","AT2G26500",-1.48168141079069,5.18629447428987,58.4542751862812,2.08070964899617e-14,5.59328045004556e-12,NA,NA
"126","AT1G16850",-1.85836776575853,3.55028798758098,58.3145398221262,2.23387001217967e-14,5.95734128168741e-12,NA,NA
"127","AT2G38970",-1.07461099332537,5.36497303121417,58.2943476068571,2.25691603708955e-14,5.97140887230575e-12,NA,NA
"128","AT3G13650",-1.25157723266849,5.58376122977294,57.8503136313323,2.82841882276477e-14,7.42504135019858e-12,NA,NA
"129","AT2G34420",-1.68333435673015,7.25837954611301,57.7913971461837,2.91441550225755e-14,7.59148757417504e-12,"LHB1B2;LHCB1.5","photosystem II light harvesting complex gene B1B2;PHOTOSYSTEM II LIGHT HARVESTING COMPLEX GENE 1.5"
"130","AT1G42970",-1.5230322003028,6.06271687965901,57.76045085186,2.9606288323027e-14,7.65254230946426e-12,"GAPB","glyceraldehyde-3-phosphate dehydrogenase B subunit"
"131","AT3G22370",1.02558536552896,5.25331455869131,57.4442877160794,3.47689512987087e-14,8.91836871403976e-12,"AOX1A;ATAOX1A;AtHSR3;HSR3","alternative oxidase 1A;NA;NA;hyper-sensitivity-related 3"
"132","AT3G03870",1.27922218260128,4.8926845412346,57.2800076512421,3.7797793005048e-14,9.62182909511835e-12,NA,NA
"133","AT1G62870",-1.19938587038564,4.12519641379272,57.1833716206738,3.97013729723198e-14,1.00304175535029e-11,NA,NA
"134","AT1G13610",-1.25121422449194,3.77676524542298,57.1529713936927,4.03198212140151e-14,1.01106465106965e-11,NA,NA
"135","AT1G18670",-1.21482865391153,6.04094909852435,56.9762748579477,4.4110137667264e-14,1.09326892342049e-11,"IBS1","IMPAIRED IN BABA-INDUCED STERILITY 1"
"136","AT5G47060",-1.66103216840877,6.13149615106574,56.9701056849506,4.424872733325e-14,1.09326892342049e-11,NA,NA
"137","AT3G13784",-3.5945867403938,0.859084895272293,56.5440937464232,5.4952195458526e-14,1.34781289912218e-11,"AtcwINV5;CWINV5","cell wall invertase 5;cell wall invertase 5"
"138","AT1G17290",-1.3667620409223,8.6420977880189,56.0522398588964,7.0570763164384e-14,1.71422757450308e-11,"AlaAT1","alanine aminotransferase"
"139","AT1G72060",-2.24063915050986,2.52988317001169,56.0427632186036,7.0911741222525e-14,1.71422757450308e-11,NA,NA
"140","AT5G07010",1.41468609464379,3.74145522261906,55.9427310183112,7.46130931235233e-14,1.79082082509759e-11,"ATST2A;ST2A","ARABIDOPSIS THALIANA SULFOTRANSFERASE 2A;sulfotransferase 2A"
"141","AT5G58330",-1.22949534479608,5.53450271573634,55.4418011651906,9.62673870072325e-14,2.2941678994447e-11,"NADP-MDH","NADP-dependent Malate Dehydrogenase"
"142","AT5G57660",1.17354378611399,4.83142697022483,54.9208751783731,1.25481131261492e-13,2.96930772721736e-11,"ATCOL5;BBX6;COL5","NA;B-box domain protein 6;CONSTANS-like 5"
"143","AT4G26270",-1.62441988815883,5.57672193940741,54.8772333428452,1.28298614997433e-13,3.01474829450612e-11,"PFK3","phosphofructokinase 3"
"144","AT2G39770",-1.08897176595624,8.01363737211478,54.8430724465639,1.30548112179464e-13,3.04630393434329e-11,"CYT1;EMB101;GMP1;SOZ1;VTC1","CYTOKINESIS DEFECTIVE 1;EMBRYO DEFECTIVE 101;GDP-MANNOSE PYROPHOSPHORYLASE 1;SENSITIVE TO OZONE 1;VITAMIN C DEFECTIVE 1"
"145","AT1G17147",2.02182404493959,1.83850737949141,54.7163873046756,1.39240396584297e-13,3.22672814208658e-11,NA,NA
"146","AT4G01390",-1.92958509658902,2.22570480269128,54.5279111168582,1.53255616073346e-13,3.52718850088807e-11,NA,NA
"147","AT5G38980",-2.10656619886387,2.92557706376645,54.3953031690789,1.6395427187003e-13,3.74366736687671e-11,NA,NA
"148","AT3G59910",-1.27297251193675,7.2682759648651,54.3841219415368,1.64889819147001e-13,3.74366736687671e-11,NA,NA
"149","AT4G11100",-2.83933719602877,1.05261164514734,54.0186192418255,1.98598715683519e-13,4.47873425798497e-11,NA,NA
"150","AT1G32540",-3.91603885024261,3.56671951157343,53.9929749942237,2.01207709715637e-13,4.50732097457656e-11,"LOL1","lsd one like 1"
"151","AT3G47470",-1.39120142763172,7.40346136239001,53.9205714889127,2.08760490018483e-13,4.64554303682189e-11,"CAB4;LHCA4","NA;light-harvesting chlorophyll-protein complex I subunit A4"
"152","AT3G54260",-1.21135759024636,8.40400338805509,53.7169150664775,2.31561000396048e-13,5.11902153638684e-11,"TBL36","TRICHOME BIREFRINGENCE-LIKE 36"
"153","AT4G34760",-1.45153490554774,3.07596471884177,53.656475934195,2.38795263573776e-13,5.24444342915426e-11,"SAUR50","SMALL AUXIN UPREGULATED RNA 50"
"154","AT3G30775",-1.25566134278739,7.52251713272118,53.4051574763394,2.71383437991811e-13,5.92144563857197e-11,"AT-POX;ATPDH;ATPOX;ERD5;PDH1;PRO1;PRODH","NA;NA;ARABIDOPSIS THALIANA PROLINE OXIDASE;EARLY RESPONSIVE TO DEHYDRATION 5;proline dehydrogenase 1;NA;PROLINE DEHYDROGENASE"
"155","AT1G19600",-1.09476842065672,7.57071803393479,53.3399200325687,2.80547088821987e-13,6.08189888941705e-11,NA,NA
"156","AT2G41380",2.58219124381127,3.0209347335238,53.0053501830826,3.32641078147978e-13,7.1650035307233e-11,NA,NA
"157","AT1G31330",-1.01775204878423,6.59288010258958,52.9909395404744,3.35090497377849e-13,7.17179037763725e-11,"PSAF","photosystem I subunit F"
"158","AT2G47560",-1.4407858562964,4.40508376124244,52.7784990154442,3.73366232296957e-13,7.90164897589933e-11,"ATL64","Arabidopsis TÃ³xicos en Levadura 64"
"159","AT2G36580",-1.05729377846539,8.17491711789866,52.7757190966243,3.73895061951072e-13,7.90164897589933e-11,NA,NA
"160","AT5G13630",-1.13506113355839,7.24807466866675,52.4080432883412,4.50873513802184e-13,9.46890738173811e-11,"ABAR;CCH;CCH1;CHLH;GUN5","ABA-BINDING PROTEIN;CONDITIONAL CHLORINA;NA;H SUBUNIT OF MG-CHELATASE;GENOMES UNCOUPLED 5"
"161","AT5G54075",-2.09284271147829,2.52739349098757,52.3738178009387,4.58800190404646e-13,9.57553043352604e-11,"U3D","U3 small nucleolar RNAd"
"162","AT5G44730",-2.15714375189522,6.31998217299199,52.336824446599,4.67524805322906e-13,9.69738796818537e-11,NA,NA
