genes,logFC,logCPM,LR,PValue,FDR,AGI,At_symbol,At_short_description,perc_ID
BraA03g005690.3C,-3.962868520388538,3.1891367177974774,86.16162609640634,1.6581422223536628e-20,3.430933135510065e-17,AT5G13320,AtGH3.12,Auxin-responsive GH3 family protein,85.83
BraA08g026060.3C,-3.285893819659185,1.8544327042854862,84.87840075120462,3.172903581419872e-20,6.127511396438058e-17,AT1G26970,NA,Protein kinase superfamily protein,84.622
BraA09g042200.3C,-2.3773846684246385,5.713760453065387,84.1352509302598,4.620581913086992e-20,8.365563553643998e-17,AT3G50930,AtBCS1,NA,85.112
BraA09g060080.3C,-1.9860686125194238,5.087773414694697,82.79025241464498,9.123879668617051e-20,1.5547090955323457e-16,AT1G13470,NA,Protein of unknown function (DUF1262),76.718
BraA05g040740.3C,-2.550099180221269,5.024082613014942,81.17873097551295,2.0619928678749964e-19,3.3184338553668275e-16,AT3G01290,AtHIR2,SPFH/Band 7/PHB domain-containing membrane-associated protein family,90.544
BraA01g012730.3C,-1.344230806756904,4.675386657665479,79.9963623867155,3.750996640371913e-19,5.718887930436504e-16,AT4G22070,ATWRKY31,NA,88.854
BraA01g036040.3C,-1.7087474533305518,5.6457014612016705,79.08846057888954,5.939021204396377e-19,8.602078312447713e-16,AT3G16220,NA,NA,82.132
BraA06g029760.3C,-3.333338607121085,4.522149479229832,77.83907850797652,1.1178652810358465e-18,1.5420153076688762e-15,AT2G18690,NA,NA,74.682
BraA10g001680.3C,-2.1001287234576926,2.833340565582449,77.74712869399272,1.1711339456673672e-18,1.5420640062769224e-15,AT1G03050,PICALM5A,ENTH/ANTH/VHS superfamily protein,86.774
BraA02g040990.3C,-2.594891884080356,4.0942274155886835,76.8598320224282,1.8353224865532357e-18,2.3115487734988755e-15,AT5G26920,CBP60G,Cam-binding protein 60-like G,72.643
BraA06g014860.3C,-5.86493617483847,2.0341890823534623,76.65224468636478,2.0387420873049844e-18,2.460761699377116e-15,AT1G19250,FMO1,flavin-dependent monooxygenase 1,88.557
BraA01g041630.3C,-2.095573370854753,4.618341467663298,76.41990410685722,2.2932816781311735e-18,2.6572713460841533e-15,AT3G07130,ATPAP15,NA,84.425
BraA03g002480.3C,-2.4291498831424136,4.269178119062879,75.36803496436598,3.906636369306812e-18,4.352593936387682e-15,AT5G06320,NHL3,NDR1/HIN1-like 3,85.899
BraA03g023250.3C,-1.6799928987499784,4.43201170533419,75.25211189481438,4.142869703332833e-18,4.444838872820205e-15,AT2G44180,MAP2A,methionine aminopeptidase 2A,88.941
BraA03g057170.3C,-2.0316260442159044,6.1477667875432624,75.1395616465055,4.3858941701910955e-18,4.537520797217702e-15,AT4G32070,Phox4,NA,77.813
BraA02g031650.3C,-3.405304713925174,2.5712257018384372,72.8225763444594,1.418449417534622e-17,1.416884231970446e-14,AT4G36150,NA,NA,69.663
BraA10g029030.3C,-1.7875202152865017,6.219136736156909,72.47078970196411,1.695226522562952e-17,1.5846481289390805e-14,AT5G06320,NHL3,NDR1/HIN1-like 3,82.328
BraA05g028290.3C,-1.7349125845742401,5.817250418203135,72.47011587836987,1.69580544038634e-17,1.5846481289390805e-14,AT3G19010,2-OXOGLUTARATE OXYGENASE,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,88.9
BraA02g041230.3C,-2.0482418113720637,6.5535776859214785,72.2906343792432,1.857267471803588e-17,1.650742060582999e-14,AT5G26280,NA,TRAF-like family protein,81.298
BraA03g059170.3C,-2.079390674455941,2.8452415599500234,72.26609626438712,1.8805056613932258e-17,1.650742060582999e-14,AT4G35070,NA,SBP (S-ribonuclease binding protein) family protein,73.434
BraA04g027430.3C,-2.484373099003813,3.7121712381345304,71.80621692983128,2.3740310132036338e-17,2.022674423249496e-14,AT2G38830,NA,Ubiquitin-conjugating enzyme/RWD-like protein,74.949
BraA10g029830.3C,-1.3599284342253286,4.04330743562959,71.73990494184883,2.455168150617594e-17,2.0320374567740134e-14,AT5G07390,ATRBOHA,respiratory burst oxidase homolog A,83.602
BraA01g043570.3C,-1.830712810096847,8.20820873285983,71.59613292806065,2.6407371031559805e-17,2.124913122339512e-14,AT3G03640,BGLU25,NA,86.028
BraA04g030190.3C,-1.6470841679540371,6.4985317347550655,70.81417757203498,3.925062532135636e-17,3.072237294971091e-14,AT2G43610,NA,Chitinase family protein,89.362
BraA08g024000.3C,-1.0428705837846748,4.7471105101807725,70.76205805603347,4.0301372966342676e-17,3.072237294971091e-14,AT1G29230,ATCIPK18,CBL-interacting protein kinase 18,83.114
BraA05g014940.3C,-2.6088855318008055,3.0308957435181614,70.52085031806716,4.554274992359789e-17,3.382775332786625e-14,AT2G29110,ATGLR2.8,NA,81.125
BraA09g003140.3C,-2.395759254308212,4.442338084285377,69.77614985209564,6.643129106860835e-17,4.810954099188617e-14,AT5G40780,AtLHT1,lysine histidine transporter 1,82.718
BraA04g017460.3C,-1.246656301276005,5.535715921864747,69.65284214781047,7.071676709354052e-17,4.9963983150382484e-14,AT2G23770,AtLYK4,protein kinase family protein / peptidoglycan-binding LysM domain-containing protein,79.29
BraA06g013330.3C,-4.567934473686811,1.424259374716903,69.56918530398923,7.378060356041857e-17,5.0887536284242974e-14,AT1G17615,TN2,Disease resistance protein (TIR-NBS class),83.51
BraA09g050250.3C,-2.4448376051340865,3.9961576217560895,69.41452189756812,7.97989585684714e-17,5.375851701887161e-14,AT3G60450,NA,NA,78.976
BraA04g013300.3C,-1.3866346120627437,5.624980926275774,68.619164062273,1.1943776788496376e-16,7.863348318390069e-14,AT5G40690,NA,NA,81.287
BraA05g007270.3C,-3.197939821676563,3.4746150600742394,67.94848205258546,1.6782355862993954e-16,1.0803361880871309e-13,AT2G38340,DREB19,Integrase-type DNA-binding superfamily protein,73.333
BraA04g006990.3C,-2.0396423716161283,5.365745674085895,67.77256119388035,1.8348522540718184e-16,1.1554782629554877e-13,AT3G52400,ATSYP122,NA,84.451
BraA09g024630.3C,-1.6550431250749555,5.341946876583299,67.72629984180922,1.8784118280614856e-16,1.1577411454315981e-13,AT3G25882,NIMIN-2,NIM1-interacting 2,82.006
BraA02g023220.3C,-2.395444424978139,2.2730988610795286,67.60036944354604,2.002300449383435e-16,1.2083883212029028e-13,AT1G76070,NA,NA,76.294
BraA08g016140.3C,-1.5182666993008902,5.887234438527881,65.55740733296837,5.644556798181629e-16,3.336969823055621e-13,AT4G34138,UGT73B1,UDP-glucosyl transferase 73B1,84.917
BraA06g019230.3C,-1.0378074505526311,6.047627964009365,65.46318631877125,5.920973488105026e-16,3.430375200068528e-13,AT3G47730,ABCA2,NA,86.974
BraA09g025880.3C,-1.1412840771187276,5.209343860325119,65.15364814325685,6.928007252299155e-16,3.93510811930592e-13,AT4G04450,AtWRKY42,NA,82.609
BraA07g042290.3C,-3.471393725866608,4.7700071081272,64.96707980063573,7.615983825723307e-16,4.2426888358375533e-13,AT1G79330,AMC6,metacaspase 5,81.371
BraA09g034670.3C,-0.7712049884458616,6.971074168987361,64.64244141108374,8.980011676032467e-16,4.908169400590726e-13,AT1G30400,ABCC1,multidrug resistance-associated protein 1,91.685
BraA08g016160.3C,-1.2088484619417912,5.289505550055261,64.48152385223645,9.744180866113085e-16,5.227211691288219e-13,AT4G34135,UGT73B2,UDP-glucosyltransferase 73B2,86.648
BraA07g017710.3C,-1.6935334582206127,6.403647855687583,64.19291956612935,1.1281344956282406e-15,5.886931151969899e-13,AT5G66170,STR18,sulfurtransferase 18,88.265
BraA03g013030.3C,-3.0574389217575964,4.812754933896765,64.17569164030022,1.138042476216219e-15,5.886931151969899e-13,AT5G56300,GAMT2,gibberellic acid methyltransferase 2,87.061
BraA10g005020.3C,-0.9628214733645671,6.027958649212328,62.89812154032208,2.176797345078507e-15,1.1062713244251612e-12,AT1G06290,ACX3,acyl-CoA oxidase 3,88.708
BraA05g006950.3C,-2.899326298864127,2.6136539871364746,62.71763550767997,2.385698687969466e-15,1.19153309643275e-12,AT2G38790,NA,NA,82.159
BraA10g007150.3C,-2.65613871207701,2.8425686701246935,62.37264060067881,2.8424478283403545e-15,1.3955937066332777e-12,AT1G45201,ATTLL1,triacylglycerol lipase-like 1,82.569
BraA03g034570.3C,-1.7912562226433337,3.5681617558103764,62.30365559470013,2.9437813636431257e-15,1.4212576423669011e-12,AT3G10986,NA,Protein of unknown function (DUF567),88.107
BraA09g016030.3C,-1.065641900967121,5.462518924968199,61.99371389222027,3.4455546101688814e-15,1.6362430483175763e-12,AT1G62300,ATWRKY6,WRKY family transcription factor,84.762
BraA03g045230.3C,-1.986044339322159,3.5693524619699493,61.912637403179104,3.590379355405204e-15,1.6775178897964185e-12,AT3G50770,CML41,NA,86.452
BraA05g017960.3C,-1.8376418549528897,3.504597894731459,61.793799490344,3.813733596315835e-15,1.7535910288583666e-12,AT1G51913,NA,NA,77.551
BraA05g015120.3C,-2.255235616043056,3.529761092756232,61.27819259548244,4.9553873775455026e-15,2.242932211761533e-12,AT5G36220,CYP81D1,cytochrome p450 81d1,87.297
BraA03g046340.3C,-2.1477237779526965,7.068223078992534,61.07241494018669,5.501358592005475e-15,2.4517439337417627e-12,AT4G15610,CASPL1D1,NA,83.249
BraA02g038230.3C,-2.880204680480183,5.14247911376215,61.024314329154834,5.637424873082867e-15,2.4743170261130985e-12,AT3G28510,NA,NA,82.759
BraA06g035600.3C,-3.0984856164814616,2.011109653573432,60.967053560582684,5.803800053200206e-15,2.5093205961358742e-12,AT5G48410,ATGLR1.3,glutamate receptor 1.3,80.167
BraA01g011200.3C,-1.6348204424148032,3.933480562984806,60.91397268111143,5.962414963875639e-15,2.5399887746110224e-12,AT4G20000,NA,NA,77.358
BraA07g001990.3C,-0.6802638509087044,5.887687924533809,60.79790861131093,6.324507652336873e-15,2.655193299607167e-12,AT2G18730,ATDGK3,diacylglycerol kinase 3,88.379
BraA09g002340.3C,0.9643655474938695,4.389448482850677,60.2387329740895,8.402241583279567e-15,3.4770876312063215e-12,AT4G01720,AtWRKY47,NA,85.954
BraA04g024500.3C,-1.581967264045278,4.1099366077664135,59.88165800253299,1.0073588856263231e-14,4.110024253355399e-12,AT2G34180,ATWL2,CBL-interacting protein kinase 13,84.214
BraA07g037870.3C,-1.3886449009912765,4.739198971219398,59.63222255170386,1.1434752824959582e-14,4.600582219908738e-12,AT1G73860,NA,P-loop containing nucleoside triphosphate hydrolases superfamily protein,84.178
BraA03g026030.3C,-1.835971352958647,5.017615402719182,59.17519058411979,1.4424097636195943e-14,5.723798086648275e-12,AT5G49900,NA,"Beta-glucosidase, GBA2 type family protein",88.629
BraA04g000580.3C,-1.9248239063539496,2.7202828820970497,58.47067657679162,2.0634358422782354e-14,8.0775147944751245e-12,AT3G62780,NA,NA,80.561
BraA07g022390.3C,-2.1643227593952785,2.8800538873421884,58.30635584153394,2.243182139741586e-14,8.664066696537903e-12,AT3G56400,ATWRKY70,NA,79.828
BraA03g030250.3C,-2.3757507087809047,2.012162253813321,58.14787068603526,2.4313721903209072e-14,9.267367053844215e-12,AT3G01830,NA,Calcium-binding EF-hand family protein,81.549
BraA08g035430.3C,-1.7778950324340423,6.4335315956384145,58.11899327166408,2.4673260015199176e-14,9.282272676886878e-12,AT1G03220,NA,Eukaryotic aspartyl protease family protein,84.296
BraA07g030660.3C,-2.3623690458868865,3.580495660720511,58.04457710177765,2.5624486503639204e-14,9.516540064582313e-12,AT1G68620,NA,alpha/beta-Hydrolases superfamily protein,83.581
BraA05g014770.3C,-2.598665431221656,3.5387700835562037,57.98528861644104,2.640853763212234e-14,9.683576178826834e-12,AT2G30670,NA,NAD(P)-binding Rossmann-fold superfamily protein,87.959
BraA06g009770.3C,-1.0019816549022231,6.219980399891436,57.941640716506186,2.700105180871613e-14,9.77708085993611e-12,AT1G13530,NA,Protein of unknown function (DUF1262),83.463
BraA07g040870.3C,-1.935906936984292,4.7144747592525915,57.71351506587783,3.0321230449045284e-14,1.0843770415406712e-11,AT5G64870,NA,SPFH/Band 7/PHB domain-containing membrane-associated protein family,90.235
BraA06g019210.3C,-1.7658775659670396,4.6262496541250515,57.65123640301235,3.129661799074442e-14,1.1056102804340053e-11,AT3G47780,ABCA7,NA,87.884
BraA07g026610.3C,-0.7204625555813127,7.585990200305109,56.66294549108828,5.172918277467784e-14,1.785024968118954e-11,AT1G78380,ATGSTU19,glutathione S-transferase TAU 19,86.287
BraA02g040690.3C,-2.0763122125321503,3.2645830064481354,56.66172544988973,5.1761287393673064e-14,1.785024968118954e-11,AT5G27420,ATL31,carbon/nitrogen insensitive 1,78.004
BraA06g028240.3C,-1.5541533033426913,2.8306447887138595,56.55490277460885,5.465095357081393e-14,1.8625044976933387e-11,AT5G64810,ATWRKY51,WRKY DNA-binding protein 51,86.278
BraA10g020990.3C,-1.4988484263659834,3.741936723247018,56.52568825333145,5.546897490589573e-14,1.8684014710162645e-11,AT5G42330,NA,NA,90.123
BraA06g000880.3C,-2.0368332246098677,3.1255097865997996,56.31417331515027,6.1768564681788e-14,2.0566802088529133e-11,AT1G54095,NA,Protein of unknown function (DUF1677),75.974
BraA10g004630.3C,-2.505664847153452,2.241656076299606,55.924875849893596,7.529381113886615e-14,2.4785353648530395e-11,AT1G05880,ARI12,RING/U-box superfamily protein,68.51
BraA06g018600.3C,-1.9833576083391462,4.218435512978978,55.52925886396375,9.207825187660807e-14,2.9969919105186315e-11,AT3G48360,ATBT2,NA,84.497
BraA06g010270.3C,-1.953818049948594,6.260015899083465,55.50680932666063,9.313583584303128e-14,2.997732103001034e-11,AT1G14120,AtDAO2,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,80.62
BraA09g047500.3C,-2.7118348987182155,2.4713132952834496,55.23833732189803,1.0676591288224414e-13,3.398675785025108e-11,AT3G56891,NA,Heavy metal transport/detoxification superfamily protein,78.558
BraA02g021370.3C,-1.8371419095991157,3.7347895829615343,54.74525852565853,1.3720983601255506e-13,4.3203201408822776e-11,AT1G72890,NA,Disease resistance protein (TIR-NBS class),80.693
BraA10g033750.3C,-1.3716675921234132,4.163020570886575,54.491648842243606,1.5610982486349215e-13,4.8625692544576785e-11,AT5G01490,ATCAX4,cation exchanger 4,85.42
BraA07g020810.3C,-1.057849600373576,7.489364870941416,53.93777957706375,2.0694011647765346e-13,6.370243953947928e-11,AT5G42050,NRP,DCD (Development and Cell Death) domain protein,82.77
BraA08g018000.3C,-3.0627709399769625,3.207068074732025,53.919156116033264,2.0891092779102913e-13,6.370243953947928e-11,AT4G30640,NA,NA,79.581
BraA08g021740.3C,-1.8277672015450181,4.331575681991869,53.88217104684894,2.1288069908847917e-13,6.423675094994859e-11,AT4G37900,AtGRDP2,NA,78.029
BraA05g016090.3C,-5.087913594460047,1.093502590477835,53.711799462210024,2.3216472303061306e-13,6.933348140980205e-11,AT1G55790,NA,Domain of unknown function (DUF2431),75.358
BraA01g010600.3C,-1.5089245202792834,4.859923452385087,53.686699850989186,2.3514977575736835e-13,6.95083541238719e-11,AT4G19200,NA,NA,82.703
BraA02g010770.3C,-1.937358400300221,2.6618222534212004,53.58072003645697,2.481830916904629e-13,7.261987676857908e-11,AT5G59730,ATEXO70H7,exocyst subunit exo70 family protein H7,77.189
BraA09g006550.3C,-1.6022985990832992,4.274013733218611,53.49589685495663,2.591334955201831e-13,7.506579098228664e-11,AT5G23490,NA,NA,82.2
BraA09g033340.3C,-2.5911033839007938,3.605680232553822,53.47433844768402,2.619928415373792e-13,7.514265973915645e-11,AT5G01900,ATWRKY62,WRKY DNA-binding protein 62,79.752
BraA09g044110.3C,-1.3788591006023092,4.110089054466839,53.26042976191471,2.9213228762909833e-13,8.296556968666392e-11,AT3G53150,UGT73D1,NA,85.451
BraA03g050930.3C,-2.7550092214857878,3.050539648540066,53.18845849050206,3.0303405269055775e-13,8.522612076058328e-11,AT4G23210,CRK13,cysteine-rich RLK (RECEPTOR-like protein kinase) 13,82.174
BraA09g055920.3C,-1.5792468273947926,4.262364722977488,52.971695856040114,3.3838956862569843e-13,9.394842889375763e-11,AT2G20960,pEARLI4,Arabidopsis phospholipase-like protein (PEARLI 4) family,81.465
BraA08g030490.3C,-1.669749153676143,4.675359771828396,52.95928844296381,3.4053386612277514e-13,9.394842889375763e-11,AT1G13520,NA,Protein of unknown function (DUF1262),86.466
BraA01g000270.3C,-0.9757385319255584,6.106128443298046,52.908093758024435,3.495262780405821e-13,9.551959643659982e-11,AT4G39090,RD19,NA,86.937
BraA03g047420.3C,-1.685848452537155,4.460018871994332,52.79309429741555,3.706019976179027e-13,1.0033269782238696e-10,AT4G17215,NA,Pollen Ole e 1 allergen and extensin family protein,81.49
BraA07g035420.3C,-1.8587844327436447,3.265264994741828,52.72972315267539,3.827545630774825e-13,1.0266327947433809e-10,AT1G70690,HWI1,Receptor-like protein kinase-related family protein,76.008
BraA09g036560.3C,-1.3287110351443536,4.340116022503192,52.656648043951776,3.972638991162882e-13,1.0557743696881318e-10,AT1G28130,GH3.17,Auxin-responsive GH3 family protein,90.489
BraA06g015750.3C,-2.7500248061641295,1.0015310522687424,52.60784275930439,4.0725964690367947e-13,1.072499768318708e-10,AT1G20180,NA,Protein of unknown function (DUF677),85.11
BraA02g042070.3C,-1.306443685687207,6.323533095520109,52.44196491531855,4.431524362334357e-13,1.1565080876405555e-10,AT5G24530,AtDMR6,2-oxoglutarate (2OG) and Fe(II)-dependent oxygenase superfamily protein,90.049
BraA03g060450.3C,-3.3758828444118945,3.6354402586902546,52.31514174625558,4.727154832971716e-13,1.2226448321564703e-10,AT4G37050,AtPLAIVC,NA,86.808
BraA07g035160.3C,-1.176935312130832,4.8038713576254946,52.23157131431627,4.932668264612472e-13,1.2645091530026029e-10,AT1G70420,NA,Protein of unknown function (DUF1645),72.812
BraA01g033510.3C,-2.534021014267352,1.6225971047988592,52.19929559586291,5.01441193401039e-13,1.274188464073798e-10,AT3G19700,IKU2,NA,81.099
BraA09g057780.3C,-1.2875627320367788,3.949090977447827,52.00106381956513,5.547057390251147e-13,1.3972796389634368e-10,AT1G17340,SAC5,Phosphoinositide phosphatase family protein,79.017
BraA02g038830.3C,-0.735963882181808,4.618174129142317,51.9335781259783,5.741019842964727e-13,1.4336712311293292e-10,AT3G29400,ATEXO70E1,NA,78.407
BraA09g046100.3C,-3.4856809157557302,0.368859554232966,51.78936872397804,6.178545131169467e-13,1.529744404783907e-10,AT3G55150,ATEXO70H1,NA,83.603
BraA06g000220.3C,-2.107330775346119,4.474818845816596,51.43395672029162,7.40466278577956e-13,1.8177819625293413e-10,AT1G55920,AtSAT1,serine acetyltransferase 2;1,84.436
BraA02g000030.3C,-2.720596821134256,1.7212147546021466,51.182344966927786,8.417226279216918e-13,2.0329979254827014e-10,AT5G01900,ATWRKY62,WRKY DNA-binding protein 62,81.615
BraA08g030540.3C,-2.004174856812636,5.69330044203159,51.1813023478727,8.421698117161149e-13,2.0329979254827014e-10,AT1G13340,ISTL6,Regulator of Vps4 activity in the MVB pathway protein,82.761
BraA09g019200.3C,-2.5841638019706252,2.4087544589460856,51.061448404437726,8.951926672418256e-13,2.140092441833303e-10,AT5G42380,AtCML37,calmodulin like 37,81.183
BraA05g007330.3C,-3.385903154591931,2.4457270217001947,51.04808180323079,9.013092995845863e-13,2.140092441833303e-10,AT1G62630,NA,Disease resistance protein (CC-NBS-LRR class) family,66.418
BraA05g039030.3C,-2.1133301615206763,4.800456458757222,51.031397953556976,9.0900263600904e-13,2.1408120617812904e-10,AT3G06390,CASPL1D2,NA,86.172
BraA04g025550.3C,-1.7494355175256255,3.051730568794945,50.888760793592695,9.775171878172802e-13,2.280959286877705e-10,AT2G35930,AtPUB23,plant U-box 23,88.979
BraA06g036940.3C,-1.9299854121079192,6.072484868952307,50.875271637613196,9.842581844093936e-13,2.280959286877705e-10,AT3G28570,NA,NA,78.46
BraA07g023460.3C,-2.2015707468597405,4.048775959580336,50.775858875813384,1.035394136982699e-12,2.380420425405938e-10,AT3G58550,NA,NA,89.744
BraA06g004700.3C,-2.4467511447345576,2.9199277710758427,50.72631654729551,1.0618618663650644e-12,2.422048389359306e-10,AT1G48260,CIPK17,CBL-interacting protein kinase  17,83.929
BraA03g008440.3C,-1.3052523447019782,5.315677770449112,50.46584754387614,1.2125667812587322e-12,2.744190196836168e-10,AT5G18270,ANAC087,Arabidopsis NAC domain containing protein 87,87.793
BraA07g033100.3C,-1.36862547513358,4.984815394128114,50.174211876236214,1.4068454336045232e-12,3.159185931833785e-10,AT1G67800,RGLG5,Copine (Calcium-dependent phospholipid-binding protein) family,84.76
BraA01g028450.3C,-2.5428357471977328,2.3859323703905937,49.97419781092641,1.5578105331430767e-12,3.471281194160665e-10,AT1G60750,NA,NAD(P)-linked oxidoreductase superfamily protein,84.881
BraA07g011470.3C,-1.9687295857090779,3.4652948036926077,49.934143693942275,1.5899374134249845e-12,3.5158249612286226e-10,AT1G29000,NA,Heavy metal transport/detoxification superfamily protein,85.236
BraA02g007590.3C,-1.2465828908463543,4.928898333699702,49.67853905725525,1.8111626189781026e-12,3.9746786929210364e-10,AT5G18270,ANAC087,Arabidopsis NAC domain containing protein 87,89.261
BraA05g000330.3C,-1.264344402478335,4.1453173069784865,49.552567127307896,1.9312698725287176e-12,4.2063929073242025e-10,AT2G47600,ATMHX,NA,89.938
BraA05g032800.3C,-2.348409841787328,3.705926442783189,49.446698416942056,2.038352946496472e-12,4.406493145829089e-10,AT5G40990,GLIP1,GDSL lipase 1,70.736
BraA08g021380.3C,-2.294019389076293,2.1721660912849283,49.076809988035436,2.4613297178062104e-12,5.281466612252615e-10,AT4G37030,NA,NA,88.967
BraA10g031680.3C,-1.3363392715350313,5.205415231636945,49.023619937731425,2.528986992314239e-12,5.386742293629329e-10,AT5G04720,ADR1-L2,ADR1-like 2,82.211
BraA10g007840.3C,-1.4701838743391955,3.938465820694217,48.967692844322144,2.6021340171042135e-12,5.50208892025364e-10,AT1G44130,NA,Eukaryotic aspartyl protease family protein,82.63
BraA09g063110.3C,-4.237556518364411,2.2172819630794063,48.952528378013824,2.6223299607150987e-12,5.504612630579346e-10,AT1G54950,NA,NA,74
BraA09g017010.3C,-2.7200831572759894,3.579050254581598,48.65786889756734,3.0474313379609755e-12,6.350934604176513e-10,AT1G60750,NA,NAD(P)-linked oxidoreductase superfamily protein,82.958
BraA03g016270.3C,-1.6361253523800778,4.6063351106713535,48.61547614823685,3.1140213278146045e-12,6.443354987438104e-10,AT2G30500,NET4B,Kinase interacting (KIP1-like) family protein,85.737
BraA05g029670.3C,-1.0700693777539965,4.295668250513618,48.600855342385415,3.137323622399066e-12,6.44553125486923e-10,AT3G17860,JAI3,jasmonate-zim-domain protein 3,85.836
BraA10g030270.3C,-1.1053806374577755,3.8268984983292866,48.572944581669674,3.1822927585300207e-12,6.491877227401243e-10,AT5G07740,NA,actin binding,84.52
BraA05g027900.3C,-0.9416858434088918,7.468896867948335,48.483704216432045,3.330448867387528e-12,6.746604390942791e-10,AT3G19390,NA,NA,85.389
BraA06g023410.3C,-1.9914384093534374,4.186655111190739,48.450035523465345,3.3881218103357935e-12,6.815771708458837e-10,AT3G44540,FAR4,fatty acid reductase 4,86.998
BraA03g020760.3C,-1.2903680539367979,6.631162836706109,48.22888254785198,3.792606859155373e-12,7.576843827311231e-10,AT2G39210,NA,Major facilitator superfamily protein,85.315
BraA10g028500.3C,-1.2724174231823373,6.402189776813818,48.142091477898575,3.964246247431161e-12,7.865498992848347e-10,AT5G05730,AMT1,anthranilate synthase alpha subunit 1,88.522
BraA05g026620.3C,-3.1138109862569086,3.286510487558962,48.11370581675429,4.0220523949833055e-12,7.925905699175264e-10,AT3G20600,NDR1,NA,75.862
BraA03g027050.3C,-1.2255102251895307,3.2840947956846196,48.003962727641195,4.253586080805686e-12,8.325532539782374e-10,AT1G34120,AT5P1,inositol polyphosphate 5-phosphatase I,81.622
BraA06g019530.3C,-3.0360291185261454,2.5350916329597073,47.941054984883024,4.3922740168021204e-12,8.539288169041868e-10,AT3G47480,NA,NA,86
BraA07g037460.3C,-2.072347545452565,3.5551997963360256,47.878864796753476,4.533827864311215e-12,8.755728371557818e-10,AT1G73260,ATKTI1,kunitz trypsin inhibitor 1,72.588
BraA02g042320.3C,-1.332936563858019,5.083650147310772,47.8089922441975,4.6983215464812385e-12,9.013309838309174e-10,AT5G24140,SQP2,squalene monooxygenase 2,83.268
BraA02g022480.3C,-1.9326335499968694,3.271169441881958,47.77891239720191,4.770962009693042e-12,9.092449177420265e-10,AT1G74710,ATICS1,ADC synthase superfamily protein,86.342
BraA09g025240.3C,-2.1473106185122885,4.6597404891572864,47.76517546090258,4.804508446329023e-12,9.096535991716284e-10,AT4G04990,NA,Protein of unknown function (DUF761),73.431
BraA05g014560.3C,-1.2272631681394592,4.428332504274191,47.63980715837086,5.121784344282216e-12,9.634275901634235e-10,AT2G29620,NA,NA,77.92
BraA01g000400.3C,-4.246107196254481,0.9127224035610183,47.377384311668905,5.855436416670979e-12,1.0943244007620961e-9,AT4G39360,NA,NA,68.436
BraA07g040610.3C,-2.255161097464599,2.1419906353268363,47.362249620713726,5.900821045974804e-12,1.0957370773063982e-9,AT1G77145,NA,Protein of unknown function (DUF506),80.971
BraA04g002290.3C,-1.8816877089641324,3.020693367914837,47.33758111828648,5.975550642695875e-12,1.1025461848255676e-9,AT3G59700,ATHLECRK,NA,84.973
